Transition,Energy_eV,Energy_cm-1,Wavelength_nm,R_1e40*cgs,MX_au,MY_au,MZ_au
0-1A -> 1-3A,0.962862,7766.0,1287.7,-0.0,0.0,0.0,0.0
0-1A -> 1-1A,1.305089,10526.3,950.0,6.42007,0.164,-0.0706,-0.05995
0-1A -> 2-3A,1.663439,13416.5,745.3,-0.0,0.0,0.0,0.0
0-1A -> 3-3A,1.729897,13952.6,716.7,-0.0,0.0,0.0,0.0
0-1A -> 2-1A,1.957179,15785.7,633.5,-2.66496,0.20816,-0.12184,-0.01864
0-1A -> 4-3A,2.019143,16285.5,614.0,-0.0,0.0,0.0,0.0
0-1A -> 3-1A,2.188259,17649.5,566.6,-9.38722,0.00958,-0.00604,-0.06135
0-1A -> 4-1A,2.258177,18213.4,549.0,-28.79671,0.08752,0.06382,-0.0171
0-1A -> 5-3A,2.358984,19026.5,525.6,-0.0,0.0,0.0,0.0
0-1A -> 6-3A,2.640456,21296.7,469.6,-0.0,0.0,0.0,0.0
0-1A -> 7-3A,2.713719,21887.6,456.9,-0.0,0.0,0.0,0.0
0-1A -> 8-3A,2.915186,23512.6,425.3,-0.0,0.0,0.0,0.0
0-1A -> 5-1A,2.937374,23691.5,422.1,-0.28718,-0.00494,0.0282,0.03642
0-1A -> 6-1A,2.948436,23780.7,420.5,137.47925,0.12556,0.10375,0.09829
0-1A -> 7-1A,2.983395,24062.7,415.6,-127.63303,-0.14031,-0.11982,0.08741
0-1A -> 9-3A,2.983801,24066.0,415.5,-0.0,0.0,0.0,0.0
0-1A -> 8-1A,3.003539,24225.2,412.8,-1.55863,-0.01928,0.03053,0.01886
0-1A -> 10-3A,3.240865,26139.3,382.6,-0.0,0.0,0.0,0.0
0-1A -> 9-1A,3.446795,27800.3,359.7,9.78776,-0.02978,-0.09358,0.05409
0-1A -> 10-1A,3.485101,28109.2,355.8,-6.91535,0.02255,-0.0572,-0.11056
