Transition,Energy_eV,Energy_cm-1,Wavelength_nm,fosc_D2,D2_au2,DX_au,DY_au,DZ_au
0-1A -> 1-3A,0.962862,7766.0,1287.7,0.0,0.0,0.0,0.0,0.0
0-1A -> 1-1A,1.305089,10526.3,950.0,0.000309616,0.00968,-0.09504,-0.00706,-0.02451
0-1A -> 2-3A,1.663439,13416.5,745.3,0.0,0.0,0.0,0.0,0.0
0-1A -> 3-3A,1.729897,13952.6,716.7,0.0,0.0,0.0,0.0,0.0
0-1A -> 2-1A,1.957179,15785.7,633.5,7.2969e-05,0.00152,0.03448,0.0102,0.01513
0-1A -> 4-3A,2.019143,16285.5,614.0,0.0,0.0,0.0,0.0,0.0
0-1A -> 3-1A,2.188259,17649.5,566.6,0.318959839,5.94948,2.4366,-0.09095,0.06474
0-1A -> 4-1A,2.258177,18213.4,549.0,0.026119737,0.47212,0.68695,0.01445,-0.00219
0-1A -> 5-3A,2.358984,19026.5,525.6,0.0,0.0,0.0,0.0,0.0
0-1A -> 6-3A,2.640456,21296.7,469.6,0.0,0.0,0.0,0.0,0.0
0-1A -> 7-3A,2.713719,21887.6,456.9,0.0,0.0,0.0,0.0,0.0
0-1A -> 8-3A,2.915186,23512.6,425.3,0.0,0.0,0.0,0.0,0.0
0-1A -> 5-1A,2.937374,23691.5,422.1,0.000154986,0.00215,-0.04398,0.0148,-0.00069
0-1A -> 6-1A,2.948436,23780.7,420.5,0.458311367,6.3447,-2.49755,0.31016,-0.10371
0-1A -> 7-1A,2.983395,24062.7,415.6,0.337747402,4.62086,-2.13977,0.19112,-0.07559
0-1A -> 9-3A,2.983801,24066.0,415.5,0.0,0.0,0.0,0.0,0.0
0-1A -> 8-1A,3.003539,24225.2,412.8,0.001799007,0.02445,-0.156,0.00359,0.01001
0-1A -> 10-3A,3.240865,26139.3,382.6,0.0,0.0,0.0,0.0,0.0
0-1A -> 9-1A,3.446795,27800.3,359.7,0.017266064,0.20447,0.42524,0.13205,0.07874
0-1A -> 10-1A,3.485101,28109.2,355.8,0.086512367,1.01322,1.00454,0.02639,0.05858
