Transition,Energy_eV,Energy_cm-1,Wavelength_nm,fosc_P2,P2_au2,PX_au,PY_au,PZ_au
0-1A -> 1-3A,0.962862,7766.0,1287.7,0.0,0.0,0.0,0.0,0.0
0-1A -> 1-1A,1.305089,10526.3,950.0,0.000613976,4e-05,0.00138,0.00347,-0.00549
0-1A -> 2-3A,1.663439,13416.5,745.3,0.0,0.0,0.0,0.0,0.0
0-1A -> 3-3A,1.729897,13952.6,716.7,0.0,0.0,0.0,0.0,0.0
0-1A -> 2-1A,1.957179,15785.7,633.5,0.000130394,1e-05,-0.00266,-0.00184,0.0019
0-1A -> 4-3A,2.019143,16285.5,614.0,0.0,0.0,0.0,0.0,0.0
0-1A -> 3-1A,2.188259,17649.5,566.6,0.012123302,0.00146,-0.03754,0.00636,0.00354
0-1A -> 4-1A,2.258177,18213.4,549.0,0.001487974,0.00019,-0.01209,0.00129,0.00611
0-1A -> 5-3A,2.358984,19026.5,525.6,0.0,0.0,0.0,0.0,0.0
0-1A -> 6-3A,2.640456,21296.7,469.6,0.0,0.0,0.0,0.0,0.0
0-1A -> 7-3A,2.713719,21887.6,456.9,0.0,0.0,0.0,0.0,0.0
0-1A -> 8-3A,2.915186,23512.6,425.3,0.0,0.0,0.0,0.0,0.0
0-1A -> 5-1A,2.937374,23691.5,422.1,0.000199631,3e-05,0.00181,0.0044,-0.00311
0-1A -> 6-1A,2.948436,23780.7,420.5,0.061698,0.01003,0.09918,0.00372,0.01333
0-1A -> 7-1A,2.983395,24062.7,415.6,0.04217191,0.00694,0.0831,-0.00399,-0.00379
0-1A -> 9-3A,2.983801,24066.0,415.5,0.0,0.0,0.0,0.0,0.0
0-1A -> 8-1A,3.003539,24225.2,412.8,0.000784951,0.00013,0.00543,-0.00583,0.00816
0-1A -> 10-3A,3.240865,26139.3,382.6,0.0,0.0,0.0,0.0,0.0
0-1A -> 9-1A,3.446795,27800.3,359.7,0.006039962,0.00115,-0.02974,0.01353,0.00896
0-1A -> 10-1A,3.485101,28109.2,355.8,0.024724476,0.00475,-0.06768,-0.00754,0.01059
